21:58:11  |  Core  |  Warning  |  Widget property 'MoveToClick' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:38  |  Core  |  Warning  |  Widget property 'MultiLine' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:38  |  Core  |  Warning  |  Widget property 'ReadOnly' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:38  |  Core  |  Warning  |  Widget property 'Static' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:38  |  Core  |  Warning  |  Widget property 'VisibleHScroll' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:38  |  Core  |  Warning  |  Widget property 'VisibleVScroll' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:38  |  Core  |  Warning  |  Widget property 'MoveToClick' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:38  |  Core  |  Warning  |  Widget property 'MoveToClick' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:38  |  Core  |  Warning  |  Widget property 'MoveToClick' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:59:09  |  Core  |  Warning  |  Widget property 'FontName' not found [Kenshi_SaveGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:59:09  |  Core  |  Warning  |  Widget property 'TextColour' not found [Kenshi_SaveGamePanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
